item_id,order_id,product_id,quantity,unit_price,discount_percent
I00159,O00789,P0077,3,109.95,5
I00160,O00969,P0104,1,429.23,10
I00161,O00780,P0039,2,493.76,15
I00162,O00215,P0122,5,799.55,20
I00163,O00480,P0185,3,709.62,0
I00164,O00867,P0049,4,673.21,5
I00165,O00874,P0143,2,745.27,0
I00166,O00313,P0189,-3,542.62,5
I00167,O00436,P0176,5,141.31,10
I00168,O00024,P0146,2,489.01,0
I00169,O00582,P0162,5,696.27,5
I00170,O00391,P0053,1,916.99,0
I00171,O00487,P0028,4,815.57,0
I00172,O00096,P0044,5,358.62,20
I00173,O00706,P0155,2,279.63,5
I00174,O00291,P0053,5,624.75,0
I00175,O00378,P0133,-3,1016.86,5
I00176,O00401,P0041,2,458.92,5
I00177,O00761,P0018,2,128.99,0
I00178,O00318,P0111,4,510.29,10
I00179,O00962,P0080,5,904.63,5
I00180,O00283,P0052,-2,160.97,20
I00181,O00409,P0155,5,312.0,10
I00182,O00901,P0126,5,34.3,0
I00183,O00295,P0166,4,274.96,20
I00184,O00729,P0077,2,86.23,0
I00185,O00922,P0159,4,591.08,15
I00186,O00188,P0179,4,267.87,0
I00187,O00246,P0041,5,382.02,0
I00188,O00715,P0186,2,974.36,5
I00189,O00781,P0142,3,395.64,0
I00190,O00517,P0197,4,95.24,0
I00191,O00213,P0130,1,105.93,15
I00192,O00692,P0192,3,559.32,20
I00193,O00200,P0102,3,386.03,0
I00194,O00335,P0172,4,687.28,0
I00195,O00562,P0169,4,209.02,20
I00196,O00286,P0042,1,278.95,0
I00197,O00302,P0032,4,163.06,15
I00198,O00782,P0003,2,727.54,0
I00199,O00222,P0183,5,701.85,15
I00200,O00049,P0163,1,485.29,0
I00201,O00455,P0014,1,1066.82,20
I00202,O00207,P0064,2,227.09,0
I00203,O00432,P0008,3,351.11,15
I00204,O00686,P0017,1,479.82,20
I00205,O00681,P0043,1,649.06,0
I00206,O00836,P0084,2,327.3,10
I00207,O00405,P0110,2,162.63,0
I00208,O00178,P0004,3,110.47,0
I00209,O00470,P0057,3,510.29,0
I00210,O00045,P0018,4,150.01,10
I00211,O00512,P0027,5,555.17,0
I00212,O00615,P0084,4,338.56,20
I00213,O00711,P0035,3,380.77,15
I00214,O00494,P0018,5,224.81,5
I00215,O00392,P0131,2,504.74,15
I00216,O00014,P0060,-1,660.7,15
I00217,O00439,P0194,1,311.77,0
I00218,O00511,P0076,4,380.77,0
I00219,O00244,P0186,4,884.21,0
I00220,O00138,P0072,1,442.82,5
I00221,O00664,P0074,2,487.77,0
I00222,O00351,P0063,1,1084.18,15
I00223,O00255,P0176,2,176.95,5
I00224,O00534,P0083,1,101.09,5
I00225,O00072,P0050,2,855.38,0
I00226,O00094,P0045,2,394.95,0
I00227,O00437,P0186,2,874.86,0
I00228,O00435,P0046,3,406.85,5
I00229,O00991,P0163,4,370.55,0
I00230,O00408,P0097,4,203.49,10
I00231,O00753,P0111,4,444.74,5
I00232,O00438,P0022,3,186.56,0
I00233,O00567,P0187,4,485.86,5
I00234,O00291,P0097,4,150.45,0
I00235,O00733,P0121,2,515.89,20
I00236,O00513,P0187,4,465.15,5
I00237,O00963,P0102,3,486.22,0
I00238,O00657,P0151,1,522.7,0
I00239,O00395,P0145,4,242.13,20
I00240,O00936,P0193,5,496.98,15
I00241,O00706,P0095,4,419.46,15
I00242,O00253,P0063,3,920.82,15
I00243,O00029,P0179,2,195.64,5
I00244,O00967,P0175,2,774.66,15
I00245,O00862,P0042,-1,285.77,5
I00246,O00408,P0181,1,584.72,0
I00247,O00898,P0109,4,368.94,0
I00248,O00513,P0137,4,742.46,15
I00249,O00422,P0193,1,314.34,10
I00250,O00796,P0089,3,194.3,15
I00251,O00408,P0179,2,287.32,0
I00252,O00100,P0018,4,177.38,15
I00253,O00296,P0188,2,308.68,15
I00254,O00138,P0051,5,1214.86,5
I00255,O00581,P0055,1,777.2,20
I00256,O00778,P0050,4,626.74,10
I00257,O00112,P0163,3,372.65,0
I00258,O00284,P0017,5,323.0,5
I00259,O00689,P0195,1,73.43,0
I00260,O00682,P0150,1,480.76,10
I00261,O00811,P0002,5,250.73,20
I00262,O00273,P0125,3,399.1,0
I00263,O00380,P0175,3,883.7,0
I00264,O00682,P0103,1,1220.62,20
I00265,O00339,P0026,-4,1015.32,0
I00266,O00027,P0155,5,299.69,15
I00267,O00770,P0064,5,325.4,20
I00268,O00487,P0132,2,178.43,15
I00269,O00981,P0083,-3,183.87,20
I00270,O00754,P0084,2,323.52,5
I00271,O00757,P0157,3,569.44,5
I00272,O00675,P0180,4,114.02,0
I00273,O00730,P0037,5,58.95,15
I00274,O00517,P0009,1,66.41,15
I00275,O00562,P0120,4,1103.42,5
I00276,O00679,P0139,2,402.84,15
I00277,O00717,P0023,1,508.67,0
I00278,O00925,P0099,2,602.99,15
I00279,O00488,P0172,2,916.32,15
I00280,O00743,P0126,3,63.99,10
I00281,O00785,P0154,3,555.37,15
I00282,O00761,P0189,5,811.77,5
I00283,O00828,P0060,1,651.12,0
I00284,O00092,P0088,2,714.4,0
I00285,O00587,P0095,3,425.71,10
I00286,O00755,P0001,5,740.8,20
I00287,O00398,P0109,3,539.82,20
I00288,O00130,P0134,5,52.36,5
I00289,O00010,P0138,3,213.57,0
I00290,O00858,P0057,4,347.27,0
I00291,O00150,P0192,1,510.03,0
I00292,O00515,P0177,5,140.71,20
I00293,O00221,P0127,4,44.46,20
I00294,O00342,P0040,2,397.36,20
I00295,O00231,P0180,2,166.76,15
I00296,O00402,P0077,2,123.35,10
I00297,O00402,P0087,4,731.12,20
I00298,O00401,P0101,3,564.29,0
I00299,O00718,P0141,2,687.6,20
I00300,O00595,P0014,3,868.7,0
I00301,O00592,P0036,4,628.17,0
I00302,O00215,P0056,2,140.29,0
I00303,O00371,P0186,1,851.79,20
I00304,O00152,P0097,4,242.31,0
I00305,O00949,P0015,4,672.77,0
I00306,O00121,P0132,5,261.4,0
I00307,O00643,P0185,1,431.11,5
I00308,O00501,P0078,2,228.42,5
I00309,O00795,P0178,1,339.13,20
I00310,O00838,P0167,4,303.85,0
I00311,O00120,P0022,5,141.06,10
I00312,O00587,P0147,1,621.3,0
I00313,O00394,P0124,4,451.18,0
I00314,O00102,P0084,5,234.3,20
I00315,O00718,P0006,5,845.57,10
I00316,O00501,P0017,5,407.87,20
I00317,O00810,P0167,2,444.74,0
I00318,O00186,P0154,1,631.29,20
I00319,O00322,P0032,5,168.7,0
I00320,O00090,P0144,1,594.71,0
I00321,O00519,P0077,5,70.54,15
I00322,O00001,P0064,5,369.56,0
I00323,O00675,P0137,5,695.41,0
I00324,O00536,P0091,5,117.76,0
I00325,O00679,P0012,2,398.6,20
I00326,O00853,P0056,5,124.78,10
I00327,O00368,P0072,5,412.5,10
I00328,O00262,P0067,2,531.74,0
I00329,O00968,P0066,2,605.7,0
I00330,O00645,P0188,2,389.5,10
I00331,O00674,P0166,5,235.39,20
I00332,O00158,P0081,4,618.01,10
I00333,O00254,P0020,5,203.36,10
I00334,O00417,P0017,1,358.72,0
I00335,O00797,P0070,2,671.21,0
I00336,O00387,P0057,1,553.37,0
I00337,O00180,P0135,3,55.45,20
I00338,O00502,P0025,5,942.26,10
I00339,O00278,P0156,1,501.83,20
I00340,O00399,P0047,5,387.33,20
I00341,O00413,P0123,3,273.4,10
I00342,O00731,P0040,2,292.08,15
I00343,O00274,P0014,3,1025.98,0
I00344,O00695,P0156,4,507.5,0
I00345,O00818,P0120,3,1101.99,10
I00346,O00965,P0184,2,770.36,20
I00347,O00090,P0079,3,1015.53,15
I00348,O00082,P0020,1,214.21,0
I00349,O00087,P0191,4,490.87,0
I00350,O00986,P0109,2,440.1,10
I00351,O00702,P0174,1,88.2,10
I00352,O00195,P0191,-4,460.88,15
I00353,O00354,P0063,5,952.3,0
I00354,O00622,P0115,5,168.91,0
I00355,O00077,P0094,5,266.0,0
I00356,O00433,P0127,3,85.7,0
I00357,O00936,P0174,5,117.77,20
I00358,O00121,P0075,3,558.93,0
I00359,O00756,P0162,2,858.69,15
I00360,O00528,P0010,5,338.75,0
I00361,O00365,P0002,3,160.34,0
I00362,O00006,P0090,2,215.15,0
I00363,O00104,P0111,1,684.96,0
I00364,O00421,P0032,1,161.14,15
I00365,O00257,P0058,3,781.17,5
I00366,O00914,P0047,3,270.98,5
I00367,O00673,P0113,3,182.51,0
I00368,O00368,P0182,2,641.75,0
I00369,O00405,P0108,1,67.52,0
I00370,O00972,P0123,3,305.44,5
I00371,O00564,P0127,2,56.51,20
I00372,O00800,P0103,4,678.02,0
I00373,O00812,P0006,3,705.11,20
I00374,O00701,P0061,3,567.95,10
I00375,O00756,P0003,3,643.02,0
I00376,O00780,P0110,2,261.16,0
I00377,O00256,P0072,3,587.99,0
I00378,O00683,P0110,1,256.71,10
I00379,O00626,P0047,5,407.61,0
I00380,O00235,P0031,1,121.28,0
I00381,O00952,P0038,5,19.03,20
I00382,O00053,P0098,3,731.55,0
I00383,O00228,P0087,1,547.54,15
I00384,O00053,P0078,3,174.47,0
I00385,O00729,P0108,1,68.86,0
I00386,O00054,P0170,2,561.26,0
I00387,O00931,P0156,2,539.23,5
I00388,O00373,P0086,1,27.4,15
I00389,O00566,P0198,3,595.47,20
I00390,O00371,P0191,5,433.13,0
I00391,O00666,P0071,4,91.58,0
I00392,O00134,P0162,1,448.44,15
I00393,O00838,P0049,4,1098.72,0
I00394,O00965,P0140,3,281.2,20
I00395,O00207,P0137,1,517.02,5
I00396,O00564,P0183,5,1169.43,0
I00397,O00460,P0162,4,460.84,5
I00398,O00537,P0129,2,384.56,15
I00399,O00991,P0034,5,636.05,15
I00400,O00195,P0190,4,56.29,20
I00401,O00526,P0020,5,257.32,20
I00402,O00400,P0103,2,711.87,0
I00403,O00586,P0056,1,152.45,20
I00404,O00526,P0117,5,617.65,20
I00405,O00226,P0076,5,351.97,0
I00406,O00047,P0137,1,768.8,0
I00407,O00950,P0035,1,313.55,0
I00408,O00844,P0054,1,566.49,15
I00409,O00620,P0095,5,269.22,0
I00410,O00419,P0157,1,652.92,0
I00411,O00844,P0092,3,439.91,0
I00412,O00551,P0169,5,202.38,15
I00413,O00705,P0098,3,808.1,15
I00414,O00619,P0142,4,452.68,0
I00415,O00209,P0149,4,619.82,0
I00416,O00748,P0186,2,970.86,0
I00417,O00508,P0047,2,292.04,5
I00418,O00966,P0187,3,330.79,0
I00419,O00907,P0046,5,374.02,0
I00420,O00074,P0110,4,161.74,10
I00421,O00141,P0187,1,534.78,5
I00422,O00394,P0006,1,835.64,15
I00423,O00958,P0012,1,445.76,15
I00424,O00615,P0004,1,222.19,0
I00425,O00556,P0189,1,483.54,5
I00426,O00778,P0145,2,158.46,5
I00427,O00159,P0063,3,918.77,0
I00428,O00022,P0012,3,383.96,20
I00429,O00426,P0037,-2,32.69,5
I00430,O00395,P0038,3,19.48,15
I00431,O00394,P0176,1,163.52,0
I00432,O00230,P0027,3,649.44,10
I00433,O00342,P0031,1,184.27,10
I00434,O00155,P0046,3,512.65,15
I00435,O00436,P0039,3,664.56,0
I00436,O00357,P0027,4,803.85,0
I00437,O00831,P0183,1,1099.56,0
I00438,O00797,P0168,2,503.81,15
I00439,O00816,P0123,1,440.01,15
I00440,O00286,P0038,2,18.73,5
I00441,O00362,P0082,4,594.92,5
I00442,O00617,P0163,2,482.54,10
I00443,O00510,P0138,5,291.88,0
I00444,O00394,P0022,4,178.17,20
I00445,O00711,P0192,1,388.15,0
I00446,O00209,P0005,4,947.55,0
I00447,O00062,P0090,2,197.71,0
I00448,O00856,P0142,4,461.33,20
I00449,O00230,P0015,1,1150.12,15
I00450,O00147,P0097,4,195.77,15
I00451,O00109,P0170,4,817.7,20
I00452,O00162,P0008,2,201.79,0
I00453,O00013,P0146,4,487.2,0
I00454,O00482,P0191,5,459.74,0
I00455,O00482,P0106,4,334.68,15
I00456,O00014,P0074,1,497.2,0
I00457,O00619,P0193,2,284.37,20
I00458,O00434,P0175,4,750.28,20
I00459,O00265,P0147,2,487.2,0
I00460,O00279,P0024,2,851.22,5
I00461,O00634,P0015,2,1064.98,10
I00462,O00620,P0020,4,275.68,15
I00463,O00658,P0104,2,300.82,0
I00464,O00663,P0109,1,322.36,0
I00465,O00618,P0200,1,420.47,0
I00466,O00555,P0028,5,487.68,0
I00467,O00193,P0142,1,460.48,0
I00468,O00584,P0145,4,124.75,0
I00469,O00096,P0080,-3,923.89,5
I00470,O00513,P0050,4,757.69,0
I00471,O00720,P0173,4,664.01,10
I00472,O00104,P0129,2,239.18,20
I00473,O00392,P0123,1,355.66,0
I00474,O00699,P0119,1,448.91,0
I00475,O00906,P0056,2,143.12,0
I00476,O00987,P0129,5,397.76,20
I00477,O00350,P0115,3,112.23,10
I00478,O00877,P0111,4,548.18,10
I00479,O00622,P0020,5,305.28,5
I00480,O00100,P0004,3,173.7,20
I00481,O00801,P0023,4,580.73,0
I00482,O00166,P0018,3,156.36,0
I00483,O00184,P0182,3,1014.29,0
I00484,O00782,P0114,2,1139.71,10
I00485,O00500,P0011,3,480.89,20
I00486,O00635,P0175,3,729.11,10
I00487,O00975,P0081,4,678.29,0
I00488,O00899,P0175,1,845.2,0
I00489,O00717,P0144,-1,716.32,0
I00490,O00584,P0103,2,843.14,5
I00491,O00686,P0024,4,799.8,20
I00492,O00477,P0028,1,960.96,5
I00493,O00787,P0111,3,465.81,0
I00494,O00619,P0125,4,271.06,5
I00495,O00040,P0140,4,182.29,0
I00496,O00328,P0146,5,770.81,0
I00497,O00959,P0093,4,386.72,0
I00498,O00889,P0006,4,591.07,15
I00499,O00181,P0022,3,163.2,0
I00500,O00895,P0183,4,891.98,15
I00501,O00915,P0067,1,408.12,5
I00502,O00351,P0193,2,387.41,5
I00503,O00494,P0122,2,883.58,5
I00504,O00364,P0178,1,295.9,10
I00505,O00204,P0020,5,303.06,0
I00506,O00681,P0188,3,222.94,5
I00507,O00957,P0038,3,17.57,15
I00508,O00417,P0068,1,726.58,20
I00509,O00878,P0033,5,279.09,0
I00510,O00764,P0049,5,1008.9,10
I00511,O00387,P0056,2,160.28,10
I00512,O00979,P0004,3,110.97,0
I00513,O00515,P0032,4,199.74,0
I00514,O00361,P0139,3,381.82,0
I00515,O00470,P0110,5,239.92,10
I00516,O00447,P0098,4,701.78,15
I00517,O00636,P0026,1,623.81,0
I00518,O00632,P0106,5,363.31,0
I00519,O00649,P0114,1,973.23,20
I00520,O00431,P0055,4,685.06,0
I00521,O00201,P0121,3,1051.91,5
I00522,O00423,P0166,4,201.52,0
I00523,O00801,P0058,3,1152.04,0
I00524,O00315,P0107,1,761.25,5
I00525,O00034,P0004,-3,208.39,10
I00526,O00840,P0190,3,38.28,10
I00527,O00441,P0062,4,254.6,15
I00528,O00403,P0014,5,850.81,15
I00529,O00400,P0187,3,504.65,5
I00530,O00237,P0026,2,879.21,15
I00531,O00591,P0101,3,824.08,0
I00532,O00972,P0083,1,97.1,0
I00533,O00644,P0198,1,714.94,10
I00534,O00943,P0021,1,950.04,0
I00535,O00465,P0163,3,409.91,15
I00536,O00920,P0057,5,572.09,15
I00537,O00799,P0097,1,181.15,0
I00538,O00643,P0006,5,886.92,0
I00539,O00471,P0153,2,297.35,0
I00540,O00096,P0020,3,361.37,0
I00541,O00401,P0026,1,823.45,5
I00542,O00983,P0161,4,271.18,0
I00543,O00649,P0116,2,484.2,0
I00544,O00676,P0146,1,472.44,0
I00545,O00356,P0124,5,542.83,0
I00546,O00535,P0190,1,39.07,0
I00547,O00549,P0006,2,564.54,0
I00548,O00118,P0056,-2,96.67,15
I00549,O00709,P0033,4,306.93,0
I00550,O00357,P0182,3,738.51,20
I00551,O00508,P0112,4,834.68,0
I00552,O00178,P0051,3,1223.55,0
I00553,O00598,P0197,2,119.03,15
I00554,O00500,P0111,4,716.67,0
I00555,O00836,P0082,5,480.69,0
I00556,O00581,P0091,1,142.67,0
I00557,O00982,P0131,4,430.46,20
I00558,O00899,P0166,5,276.14,0
I00559,O00118,P0047,4,450.16,0
I00560,O00252,P0019,3,413.65,20
I00561,O00322,P0032,-1,244.97,0
I00562,O00477,P0146,2,674.27,5
I00563,O00291,P0155,2,255.69,0
I00564,O00734,P0156,1,686.81,15
I00565,O00432,P0175,3,881.95,0
I00566,O00202,P0013,4,319.22,0
I00567,O00432,P0031,2,154.47,10
I00568,O00393,P0061,3,395.04,20
I00569,O00877,P0148,4,511.9,20
I00570,O00991,P0104,5,566.46,0
I00571,O00346,P0166,-4,220.47,20
I00572,O00426,P0186,3,891.89,5
I00573,O00082,P0143,4,762.56,5
I00574,O00306,P0179,4,292.65,0
I00575,O00864,P0096,1,124.02,0
I00576,O00846,P0003,3,952.0,15
I00577,O00447,P0058,2,1052.66,20
I00578,O00378,P0138,1,236.57,20
I00579,O00045,P0029,3,244.91,0
I00580,O00705,P0157,4,502.84,0
I00581,O00948,P0036,1,542.91,20
I00582,O00152,P0193,4,474.99,15
I00583,O00126,P0134,5,64.06,5
I00584,O01000,P0072,4,352.34,0
I00585,O00785,P0076,3,500.37,20
I00586,O00249,P0169,2,318.06,0
I00587,O00996,P0127,1,72.16,5
I00588,O00839,P0099,1,463.93,20
I00589,O00605,P0195,3,103.96,0
I00590,O00726,P0117,5,537.6,0
I00591,O00225,P0094,4,373.24,10
I00592,O00208,P0200,1,434.32,0
I00593,O00703,P0079,5,902.47,0
I00594,O00473,P0028,2,490.6,5
I00595,O00192,P0069,-5,507.9,0
I00596,O00122,P0141,4,626.18,5
I00597,O00515,P0111,1,643.57,0
I00598,O00101,P0013,4,367.65,0
I00599,O00413,P0046,5,515.29,10
I00600,O00444,P0028,2,982.63,0
I00601,O00118,P0014,5,748.29,0
I00602,O00545,P0026,5,999.48,5
I00603,O00402,P0101,3,663.91,0
I00604,O00805,P0053,3,1024.8,0
I00605,O00752,P0001,5,929.82,10
I00606,O00489,P0190,2,38.28,15
I00607,O00072,P0043,4,516.29,0
I00608,O00683,P0122,1,514.89,0
I00609,O00903,P0020,1,298.63,5
I00610,O00598,P0001,2,708.79,0
I00611,O00839,P0005,3,885.95,10
I00612,O00516,P0043,1,496.01,20
I00613,O00754,P0086,3,32.92,0
I00614,O00680,P0125,4,244.73,0
I00615,O00309,P0182,5,901.87,20
I00616,O00886,P0153,3,396.82,15
I00617,O00656,P0006,4,881.63,15
I00618,O00146,P0092,2,600.24,15
I00619,O00997,P0111,1,526.83,5
I00620,O00655,P0028,5,951.43,5
I00621,O00982,P0135,3,66.42,5
I00622,O00604,P0107,3,514.55,0
I00623,O00594,P0134,5,47.83,20
I00624,O00466,P0146,3,550.19,0
I00625,O00511,P0176,2,167.14,0
I00626,O00639,P0143,3,700.23,0
I00627,O00819,P0076,-1,385.14,20
I00628,O00608,P0032,3,138.65,0
I00629,O00677,P0001,2,646.65,0
I00630,O00805,P0129,5,272.36,0
I00631,O00731,P0070,2,760.05,0
I00632,O00298,P0057,3,380.14,15
I00633,O00653,P0099,1,666.82,0
I00634,O00612,P0080,4,883.75,0
I00635,O00824,P0149,2,674.05,5
I00636,O00568,P0052,1,143.52,15
I00637,O00473,P0140,4,173.85,10
I00638,O00453,P0178,3,277.45,5
I00639,O00478,P0108,4,59.25,10
I00640,O00028,P0197,2,106.63,0
I00641,O00806,P0063,3,622.38,10
I00642,O00922,P0145,1,216.14,5
I00643,O00129,P0104,4,532.44,20
I00644,O00531,P0118,1,381.24,20
I00645,O00666,P0028,1,911.08,10
I00646,O00494,P0177,1,104.88,10
I00647,O00691,P0131,1,574.86,10
I00648,O00148,P0144,4,625.28,15
I00649,O00656,P0040,3,368.44,0
I00650,O00825,P0125,2,271.16,0
I00651,O00157,P0155,5,254.18,0
I00652,O00107,P0122,-5,639.47,0
I00653,O00949,P0032,4,284.69,20
I00654,O00241,P0140,5,273.69,20
I00655,O00674,P0158,2,932.41,0
I00656,O00146,P0191,2,406.71,15
I00657,O00560,P0052,3,142.59,0
I00658,O00983,P0151,3,358.62,15
I00659,O00820,P0028,4,559.3,0
I00660,O00469,P0031,1,152.35,0
I00661,O00661,P0167,5,322.02,0
I00662,O00986,P0036,4,620.84,0
I00663,O00367,P0129,5,286.45,15
I00664,O00538,P0100,2,690.88,0
I00665,O00672,P0185,4,677.87,20
I00666,O00144,P0072,3,566.28,0
I00667,O00939,P0166,4,331.05,0
I00668,O00590,P0182,5,628.11,15
I00669,O00332,P0151,3,411.37,20
I00670,O00414,P0018,2,141.46,15
I00671,O00109,P0128,4,625.03,0
I00672,O00791,P0188,1,433.59,0
I00673,O00746,P0099,4,677.6,0
I00674,O00627,P0065,1,206.86,0
I00675,O00622,P0162,2,578.73,15
I00676,O00461,P0097,5,223.71,0
I00677,O00259,P0126,3,40.94,15
I00678,O00166,P0112,2,456.41,0
I00679,O00645,P0172,1,860.36,0
I00680,O00369,P0199,5,790.52,0
I00681,O00190,P0175,5,720.83,20
I00682,O00213,P0147,5,461.32,10
I00683,O00922,P0144,1,803.79,15
I00684,O00386,P0019,2,544.74,0
I00685,O00104,P0031,1,154.47,0
I00686,O00024,P0058,3,1179.3,0
I00687,O00400,P0181,2,767.07,0
I00688,O00548,P0148,5,786.39,10
I00689,O00320,P0103,5,1042.01,0
I00690,O00597,P0121,3,877.0,0
I00691,O00347,P0108,3,112.87,0
I00692,O00143,P0053,3,1162.15,15
I00693,O00935,P0016,1,376.66,10
I00694,O00927,P0157,1,534.85,0
