product_id,product_name,category,subcategory,cost_price
P0142,Worker He Smartphones,Electronics,Smartphones,304.46
P0143,Weight Forward Laptops,Electronics,Laptops,382.04
P0144,Oil Garden Shoes,Clothing,Shoes,453.98
P0145,Through Hot Furniture,Home,Furniture,99.06
P0146,Itself South Accessories,Electronics,Accessories,349.34
P0147,Property Law Shoes,Clothing,Shoes,278.28
P0148,That She Bedding,Home,Bedding,326.12
P0149,Game Politics Kitchen,Home,Kitchen,441.99
P0150,Effect Order Fiction,Books,Fiction,362.59
P0151,Offer Difficult Decor,Home,Decor,209.9
P0152,How Space Women,Clothing,Women,367.72
P0153,Oil With Decor,Home,Decor,189.73
P0154,Size Environmental Comics,Books,Comics,328.6
P0155,Here Local Laptops,Electronics,Laptops,191.7
P0156,Line Industry Fiction,Books,Fiction,352.91
P0157,A She Accessories,Electronics,Accessories,324.23
P0158,Already Feel Furniture,Home,Furniture,459.98
P0159,Pick Admit Women,Clothing,Women,347.68
P0160,National Central Educational,Books,Educational,463.16
P0161,Voice Five Smartphones,Electronics,Smartphones,160.67
P0162,According First Women,Clothing,Women,357.79
P0163,Doctor Difficult Fiction,Books,Fiction,284.16
P0164,Total Forward Educational,Books,Educational,371.17
P0165,Age Sport Audio,Electronics,Audio,420.14
P0166,Term Yes Bedding,Home,Bedding,166.56
P0167,Road Test Bedding,Home,Bedding,181.13
P0168,Fact Wide Comics,Books,Comics,295.01
P0169,On Much Fiction,Books,Fiction,151.21
P0170,Only Own Men,Clothing,Men,357.28
P0171,With Owner Shoes,Clothing,Shoes,57.74
P0172,Clear Between Audio,Electronics,Audio,381.87
P0173,Always Magazine Smartphones,Electronics,Smartphones,280.71
P0174,Heart Clearly Fiction,Books,Fiction,51.07
P0175,Certainly Evidence Bedding,Home,Bedding,390.69
P0176,Hit Visit Women,Clothing,Women,88.9
P0177,Pass Enjoy Kitchen,Home,Kitchen,77.24
P0178,Early Establish Shoes,Clothing,Shoes,153.38
P0179,Talk First Audio,Electronics,Audio,127.06
P0180,Best Own Non-Fiction,Books,Non-Fiction,72.07
P0181,Instead Outside Accessories,Electronics,Accessories,312.0
P0182,Whose Director Bedding,Home,Bedding,408.66
P0183,Similar Bank Kids,Clothing,Kids,473.9
P0184,Several Garden Shoes,Clothing,Shoes,482.46
P0185,Structure Meeting Kitchen,Home,Kitchen,318.29
P0186,Consumer Method Kids,Clothing,Kids,409.16
P0187,That Way Educational,Books,Educational,269.51
P0188,Road Scientist Fiction,Books,Fiction,182.97
P0189,Part Ten Laptops,Electronics,Laptops,330.51
P0190,Whatever Beyond Decor,Home,Decor,26.93
P0191,Physical Quality Educational,Books,Educational,218.08
P0192,First Always Laptops,Electronics,Laptops,257.78
P0193,Side System Shoes,Clothing,Shoes,234.22
P0194,Part I Kids,Clothing,Kids,243.97
P0195,Bar State Bedding,Home,Bedding,47.5
P0196,Arrive Will Kids,Clothing,Kids,230.39
P0197,Spend Good Shoes,Clothing,Shoes,53.32
P0198,Happen Until Educational,Books,Educational,356.84
P0199,Technology Leader Audio,Electronics,Audio,340.18
P0200,Keep Wonder Women,Clothing,Women,278.2
