order_id,customer_id,order_date,status,region_code
O00081,C0567,2025-12-26 09:58:29,DELIVERED,AS
O00082,C0312,2025-11-14 23:53:11,SHIPPED,AS
O00083,C0506,2026-04-04 07:41:31,DELIVERED,OC
O00084,C0252,2026-07-06 07:03:46,CANCELLED,NA
O00085,C0355,2026-02-21 02:21:02,DELIVERED,NA
O00086,C0002,2025-08-16 04:33:15,DELIVERED,OC
O00087,C0107,2025-08-25 02:19:33,RETURNED,SA
O00088,C0062,2026-03-30 06:36:45,SHIPPED,AS
O00089,C0238,2025-12-20 00:20:08,DELIVERED,OC
O00090,C0470,2025-12-23 21:09:22,PLACED,NA
O00091,C0404,2025-12-01 00:00:00,DELIVERED,SA
O00092,C0134,2025-11-24 15:56:10,SHIPPED,AS
O00093,C0403,2025-09-24 08:57:53,DELIVERED,AS
O00094,C0240,2025-11-13 00:00:00,SHIPPED,AF
O00095,C0109,2025-11-23 04:40:35,DELIVERED,SA
O00096,C0367,2026-02-28 00:48:28,SHIPPED,AS
O00097,C0123,2026-03-23 00:00:00,DELIVERED,AS
O00098,C0042,2025-07-21 19:05:44,DELIVERED,EU
O00099,C0255,2026-05-07 07:25:16,DELIVERED,NA
O00100,C0267,2025-11-07 18:35:21,SHIPPED,SA
O00101,C0570,2025-09-16 03:02:42,SHIPPED,SA
O00102,C0144,2025-11-25 05:03:53,PLACED,EU
O00103,C0411,2026-03-08 17:04:03,DELIVERED,OC
O00104,C0266,2026-05-27 11:11:24,PLACED,NA
O00105,C0455,2026-05-20 04:04:22,PLACED,AS
O00106,C0473,2025-12-31 00:00:00,CANCELLED,SA
O00107,C0405,2026-03-11 09:57:01,DELIVERED,SA
O00108,C0220,2025-09-07 00:35:54,SHIPPED,SA
O00109,C0036,2025-12-30 10:53:18,DELIVERED,OC
O00110,C0422,2025-07-29 19:45:38,DELIVERED,NA
O00111,C0141,2026-07-06 07:45:47,DELIVERED,AF
O00112,C0557,2026-05-26 03:23:12,RETURNED,OC
O00113,C0558,2025-10-11 01:45:08,DELIVERED,AF
O00114,C0398,2025-09-27 22:40:21,PLACED,AF
O00115,C0288,2026-04-04 00:00:00,RETURNED,AF
O00116,C0599,2025-12-04 13:44:02,RETURNED,NA
O00117,C0247,2025-09-10 23:24:54,DELIVERED,OC
O00118,C0225,2026-05-02 16:03:44,RETURNED,SA
O00119,C0178,2026-04-21 07:27:37,DELIVERED,OC
O00120,C0029,2026-06-08 13:48:34,DELIVERED,AF
O00121,C0577,2025-08-14 17:19:12,DELIVERED,SA
O00122,C0180,2025-08-25 00:51:07,PLACED,EU
O00123,C0021,2026-04-25 14:52:19,PLACED,AF
O00124,C0134,2025-08-02 13:48:10,SHIPPED,AS
O00125,C0152,2025-10-14 18:50:45,CANCELLED,NA
O00126,C0374,2026-03-10 13:38:02,DELIVERED,OC
O00127,C0104,2026-07-07 07:13:06,DELIVERED,EU
O00128,C0448,2025-09-07 17:55:18,RETURNED,OC
O00129,C0576,2026-06-14 18:49:49,CANCELLED,AS
O00130,C0180,2026-05-31 16:25:08,DELIVERED,AS
O00131,C0002,2026-05-26 21:40:27,CANCELLED,SA
O00132,C0582,2025-11-01 00:00:00,DELIVERED,AF
O00133,C0580,2025-07-17 17:28:30,DELIVERED,AS
O00134,C0244,2025-11-22 16:59:33,DELIVERED,OC
O00135,C0091,2026-04-07 20:06:42,DELIVERED,OC
O00136,C0458,2026-05-20 00:00:00,SHIPPED,OC
O00137,C0263,2025-08-24 14:39:27,DELIVERED,NA
O00138,C0430,2025-11-07 21:22:40,DELIVERED,SA
O00139,C0360,2026-01-03 04:20:58,SHIPPED,SA
O00140,C0592,2026-01-11 09:17:01,DELIVERED,EU
O00141,C0035,2025-07-21 05:29:58,DELIVERED,NA
O00142,C0175,2025-11-18 06:47:12,SHIPPED,NA
O00143,C0096,2025-10-01 13:34:54,RETURNED,SA
O00144,C0442,2026-04-25 18:53:33,SHIPPED,SA
O00145,C0104,2026-02-06 08:02:45,RETURNED,SA
O00146,C0554,2025-10-02 16:17:33,SHIPPED,EU
O00147,C0403,2025-09-29 13:02:16,DELIVERED,EU
O00148,C0004,2026-02-09 14:30:52,SHIPPED,OC
O00149,C0492,2026-01-31 14:39:47,PLACED,EU
O00150,C0084,2026-04-29 19:17:18,SHIPPED,SA
O00151,C0272,2025-10-20 00:00:00,DELIVERED,EU
O00152,C0391,2026-02-10 12:39:32,DELIVERED,AS
O00153,C0270,2026-01-15 23:36:12,SHIPPED,NA
O00154,C0100,2026-03-11 00:00:00,DELIVERED,AF
O00155,C0233,2026-04-21 20:51:09,DELIVERED,AF
O00156,C0549,2025-09-05 06:55:30,CANCELLED,AF
O00157,C0488,2026-04-08 08:00:15,DELIVERED,OC
O00158,UNKNOWN,2026-04-09 18:20:32,DELIVERED,AF
O00159,C0151,2026-03-28 22:06:42,DELIVERED,EU
O00160,C0172,2025-07-19 12:51:54,DELIVERED,EU
O00161,UNKNOWN,2025-12-05 00:00:00,DELIVERED,EU
O00162,C0152,2026-02-23 19:28:17,SHIPPED,OC
O00163,C0069,2026-06-29 00:00:00,DELIVERED,AF
O00164,C0283,2026-03-27 02:00:14,CANCELLED,NA
O00165,C0536,2026-02-01 23:35:42,SHIPPED,EU
O00166,C0597,2025-07-29 06:45:12,CANCELLED,NA
O00167,C0104,2025-10-19 14:29:50,DELIVERED,AS
O00168,C0271,2025-09-16 12:57:57,DELIVERED,AF
O00169,C0177,2025-08-04 17:44:16,SHIPPED,AF
O00170,C0412,2025-10-30 00:00:00,DELIVERED,AS
O00171,C0051,2025-09-28 08:05:40,CANCELLED,AS
O00172,UNKNOWN,2026-05-14 21:14:29,DELIVERED,AS
O00173,C0101,2026-04-08 21:34:15,SHIPPED,AS
O00174,C0454,2026-03-09 09:19:15,DELIVERED,OC
O00175,C0092,2025-10-25 17:59:53,SHIPPED,SA
O00176,C0529,2025-08-02 00:15:43,DELIVERED,AF
O00177,C0068,2026-01-08 23:13:14,DELIVERED,EU
O00178,C0537,2026-03-23 16:15:26,PLACED,EU
O00179,C0206,2025-07-15 15:09:06,SHIPPED,SA
O00180,C0370,2025-08-07 06:12:29,SHIPPED,SA
O00181,C0127,2025-12-10 07:54:25,SHIPPED,SA
O00182,C0182,2026-03-25 20:35:33,DELIVERED,AF
O00183,C0168,2025-10-25 18:16:03,SHIPPED,OC
O00184,C0029,2026-03-26 20:54:30,SHIPPED,AF
O00185,C0220,2026-06-08 07:27:37,DELIVERED,OC
O00186,C0420,2026-07-01 22:01:31,DELIVERED,OC
O00187,UNKNOWN,2026-03-25 18:03:11,DELIVERED,AF
O00188,C0230,2025-11-29 06:57:26,DELIVERED,AS
O00189,C0282,2026-06-13 01:09:58,DELIVERED,AS
O00190,C0224,2025-08-23 07:05:33,DELIVERED,AF
O00191,C0105,2025-07-19 00:00:00,RETURNED,AS
O00192,C0290,2025-11-02 23:43:40,SHIPPED,NA
O00193,C0284,2026-06-14 06:19:22,DELIVERED,AS
O00194,C0306,2026-06-20 11:22:40,DELIVERED,EU
O00195,C0414,2026-03-21 14:25:20,DELIVERED,OC
O00196,UNKNOWN,2025-12-09 12:07:45,SHIPPED,SA
O00197,C0037,2025-10-10 04:07:09,RETURNED,EU
O00198,C0228,2025-12-07 05:51:50,DELIVERED,SA
O00199,C0368,2026-01-25 21:24:39,DELIVERED,OC
O00200,C0186,2026-04-14 00:15:02,DELIVERED,OC
O00201,C0573,2025-08-20 01:50:43,SHIPPED,OC
O00202,C0092,2026-06-28 10:10:11,SHIPPED,AS
O00203,C0340,2025-11-11 21:44:03,DELIVERED,SA
O00204,C0482,2026-01-16 00:00:00,DELIVERED,AF
O00205,C0073,2026-06-14 00:22:45,SHIPPED,NA
O00206,C0391,2026-03-01 06:54:24,DELIVERED,EU
O00207,C0206,2026-02-03 19:58:33,RETURNED,SA
O00208,C0185,2025-08-15 13:53:01,DELIVERED,OC
O00209,C0321,2025-09-22 19:00:27,PLACED,AS
O00210,C0173,2025-09-27 15:07:22,SHIPPED,NA
O00211,C0445,2026-01-22 19:52:31,DELIVERED,SA
O00212,C0039,2026-01-06 06:12:46,DELIVERED,NA
O00213,C0544,2026-02-15 03:27:29,DELIVERED,OC
O00214,C0232,2026-07-07 03:40:45,DELIVERED,EU
O00215,C0516,2026-04-15 02:09:57,SHIPPED,NA
O00216,C0298,2025-07-20 17:45:31,DELIVERED,AF
O00217,C0138,2025-07-27 19:59:27,CANCELLED,AS
O00218,C0169,2025-10-16 11:20:00,CANCELLED,SA
O00219,UNKNOWN,2026-07-05 13:39:07,RETURNED,EU
O00220,C0517,2026-02-02 23:58:49,DELIVERED,OC
O00221,C0385,2025-11-07 19:36:07,SHIPPED,AF
O00222,C0050,2025-11-18 22:33:57,DELIVERED,NA
O00223,UNKNOWN,2026-01-18 15:58:36,DELIVERED,NA
O00224,C0486,2025-12-12 04:13:25,SHIPPED,OC
O00225,C0309,2026-04-27 11:41:45,SHIPPED,AF
O00226,C0141,2025-09-11 08:52:00,DELIVERED,AF
O00227,C0121,2025-07-19 12:42:47,DELIVERED,SA
O00228,C0205,2025-11-24 01:41:40,DELIVERED,EU
O00229,C0420,2026-04-04 03:42:56,PLACED,SA
O00230,C0493,2025-11-26 01:32:21,PLACED,OC
O00231,C0114,2025-11-27 09:50:09,DELIVERED,EU
O00232,C0524,2026-03-12 00:00:00,DELIVERED,AS
O00233,C0468,2025-11-06 19:21:22,SHIPPED,SA
O00234,C0179,2025-10-12 03:03:34,DELIVERED,AS
O00235,C0321,2026-01-23 01:28:26,SHIPPED,NA
O00236,UNKNOWN,2025-10-27 12:50:36,DELIVERED,AS
O00237,C0449,2026-05-23 16:51:41,SHIPPED,OC
O00238,C0351,2025-08-05 11:26:38,DELIVERED,SA
O00239,C0395,2026-03-12 10:16:45,DELIVERED,SA
O00240,C0171,2025-10-20 11:13:02,DELIVERED,NA
O00241,C0164,2026-06-18 15:20:14,CANCELLED,SA
O00242,C0449,2025-12-09 18:09:47,DELIVERED,AS
O00243,C0134,2026-06-23 04:37:14,DELIVERED,SA
O00244,C0065,2026-05-24 20:30:16,DELIVERED,OC
O00245,C0538,2025-07-23 20:06:49,DELIVERED,AF
O00246,C0347,2026-02-12 21:52:52,DELIVERED,AF
O00247,C0255,2025-10-29 05:04:03,DELIVERED,OC
O00248,C0572,2025-10-08 00:03:17,DELIVERED,NA
O00249,C0161,2025-09-09 07:29:39,DELIVERED,SA
O00250,C0077,2025-11-22 03:08:58,DELIVERED,AS
O00251,C0052,2026-06-25 19:45:06,DELIVERED,SA
O00252,C0241,2025-12-11 00:00:00,DELIVERED,AF
O00253,C0511,2026-03-24 12:31:10,SHIPPED,SA
O00254,C0019,2025-09-03 16:50:02,DELIVERED,AF
O00255,C0094,2025-08-15 11:46:49,RETURNED,OC
O00256,C0521,2026-04-21 20:32:11,DELIVERED,SA
O00257,C0373,2025-12-07 19:54:00,DELIVERED,SA
O00258,C0485,2026-01-30 14:54:49,DELIVERED,SA
O00259,C0228,2026-04-01 00:00:00,DELIVERED,OC
O00260,C0299,2026-03-07 05:54:15,DELIVERED,NA
O00261,UNKNOWN,2026-06-16 07:38:20,SHIPPED,OC
O00262,C0420,2026-03-12 07:47:00,DELIVERED,EU
O00263,C0403,2026-04-05 00:19:57,DELIVERED,EU
O00264,C0111,2025-10-08 17:15:14,PLACED,OC
O00265,C0127,2025-12-21 11:18:01,DELIVERED,OC
O00266,C0517,2025-10-13 17:47:48,DELIVERED,AF
O00267,C0567,2026-02-19 21:16:23,DELIVERED,SA
O00268,C0182,2025-09-09 17:11:49,SHIPPED,EU
O00269,C0330,2025-12-25 00:24:48,DELIVERED,AF
O00270,C0255,2025-11-10 17:05:24,RETURNED,AS
O00271,C0137,2026-06-30 16:49:12,DELIVERED,OC
O00272,C0561,2026-03-04 11:55:07,DELIVERED,AF
O00273,C0206,2025-11-17 06:37:40,DELIVERED,OC
O00274,C0136,2026-01-02 20:01:54,DELIVERED,EU
O00275,C0331,2026-02-07 23:27:23,DELIVERED,AF
O00276,C0585,2025-09-01 13:40:37,DELIVERED,OC
O00277,C0547,2025-09-30 16:35:20,DELIVERED,NA
O00278,C0026,2026-03-22 18:57:27,PLACED,NA
O00279,C0165,2025-09-04 05:05:54,DELIVERED,EU
O00280,C0303,2026-02-23 01:04:13,DELIVERED,AS
O00281,C0105,2026-02-07 15:15:18,DELIVERED,AF
O00282,C0575,2026-04-04 01:16:01,DELIVERED,OC
O00283,C0049,2026-05-19 02:59:28,DELIVERED,OC
O00284,C0566,2025-09-28 00:00:00,DELIVERED,EU
O00285,C0454,2026-06-12 09:22:17,CANCELLED,OC
O00286,C0377,2025-09-04 00:44:48,DELIVERED,AF
O00287,C0199,2025-11-09 09:32:43,SHIPPED,OC
O00288,C0178,2026-04-05 19:03:21,SHIPPED,NA
O00289,C0570,2026-04-12 05:49:08,SHIPPED,AS
O00290,UNKNOWN,2026-06-26 09:25:59,CANCELLED,NA
O00291,C0331,2026-01-31 19:41:33,DELIVERED,OC
O00292,C0309,2026-06-30 15:12:38,DELIVERED,AS
O00293,C0326,2025-09-02 22:06:58,RETURNED,AF
O00294,C0518,2025-12-26 09:57:41,DELIVERED,SA
O00295,C0227,2026-06-30 09:59:06,DELIVERED,AS
O00296,C0224,2026-05-07 10:51:28,DELIVERED,SA
O00297,C0010,2025-09-06 18:23:24,DELIVERED,EU
O00298,C0250,2026-03-24 05:59:41,DELIVERED,AS
O00299,C0117,2026-07-09 17:56:27,DELIVERED,AS
O00300,UNKNOWN,2026-02-16 18:12:07,DELIVERED,AF
O00301,C0457,2026-07-03 13:34:34,SHIPPED,OC
O00302,C0527,2025-09-11 00:00:00,PLACED,AF
O00303,C0068,2025-11-12 16:45:03,DELIVERED,EU
O00304,C0435,2025-08-07 17:32:39,SHIPPED,OC
O00305,C0446,2026-02-13 20:15:35,CANCELLED,OC
O00306,C0025,2026-02-04 09:01:59,DELIVERED,NA
O00307,C0183,2026-04-17 19:08:35,DELIVERED,AF
O00308,C0265,2025-08-27 08:55:16,DELIVERED,SA
O00309,C0018,2025-09-21 21:44:10,SHIPPED,NA
O00310,C0065,2025-11-12 17:41:44,DELIVERED,OC
O00311,C0367,2026-06-03 10:23:18,SHIPPED,OC
O00312,C0089,2026-06-19 00:17:35,CANCELLED,SA
O00313,C0032,2025-09-06 21:50:33,DELIVERED,EU
O00314,C0559,2026-04-20 18:20:38,DELIVERED,AS
O00315,C0383,2025-07-23 20:16:34,PLACED,AF
O00316,C0043,2026-05-05 00:00:00,DELIVERED,AF
O00317,C0088,2025-11-13 03:51:14,DELIVERED,OC
O00318,C0423,2026-06-19 04:53:43,DELIVERED,EU
O00319,C0227,2025-12-20 04:36:20,SHIPPED,NA
O00320,C0581,2025-12-19 02:36:57,DELIVERED,AF
O00321,C0563,2025-11-07 00:00:00,DELIVERED,AS
O00322,C0595,2025-12-31 10:34:21,DELIVERED,EU
O00323,C0241,2026-04-27 23:03:28,DELIVERED,EU
O00324,C0462,2026-07-10 00:49:30,DELIVERED,OC
O00325,C0580,2026-05-27 12:15:24,DELIVERED,SA
O00326,C0321,2026-06-24 15:22:05,SHIPPED,OC
O00327,C0284,2026-03-16 17:19:10,SHIPPED,OC
O00328,C0492,2026-07-09 19:59:32,DELIVERED,AS
O00329,C0112,2026-04-25 03:17:44,DELIVERED,AS
O00330,C0144,2025-10-26 17:26:12,SHIPPED,OC
O00331,C0079,2025-09-09 09:48:50,DELIVERED,AF
O00332,C0596,2026-05-10 23:17:00,DELIVERED,EU
O00333,C0565,2025-09-23 09:08:23,DELIVERED,AF
O00334,C0153,2025-08-22 20:39:12,SHIPPED,AF
O00335,C0298,2025-09-01 11:34:05,DELIVERED,NA
O00336,C0515,2025-09-22 00:00:00,SHIPPED,AF
O00337,C0527,2025-07-22 13:39:24,SHIPPED,AF
O00338,C0150,2026-05-04 11:59:50,DELIVERED,AS
O00339,UNKNOWN,2026-03-07 01:33:12,SHIPPED,AS
O00340,C0044,2026-03-08 23:49:47,DELIVERED,AS
O00341,C0466,2025-10-24 00:48:41,PLACED,OC
O00342,C0534,2026-03-04 14:06:53,SHIPPED,OC
O00343,C0558,2026-02-17 14:41:46,DELIVERED,SA
O00344,C0080,2026-03-07 05:05:57,DELIVERED,EU
O00345,C0362,2025-10-10 01:43:17,DELIVERED,SA
O00346,C0007,2026-02-28 23:57:22,SHIPPED,EU
O00347,C0527,2025-10-10 13:34:11,SHIPPED,EU
O00348,C0122,2025-10-10 01:43:51,DELIVERED,AS
O00349,C0494,2026-04-05 08:17:52,DELIVERED,AF
O00350,C0421,2025-07-22 00:00:00,PLACED,AF
O00351,C0138,2025-11-28 22:01:48,PLACED,AF
O00352,C0171,2025-08-12 06:14:10,SHIPPED,SA
O00353,C0578,2026-04-05 15:24:47,DELIVERED,OC
O00354,C0291,2026-05-11 05:58:44,SHIPPED,AF
O00355,C0494,2026-01-13 11:43:34,DELIVERED,AF
O00356,C0597,2025-09-02 11:14:58,SHIPPED,OC
O00357,C0172,2026-01-23 11:28:34,DELIVERED,SA
O00358,C0071,2026-06-06 00:03:05,DELIVERED,NA
O00359,UNKNOWN,2026-03-04 05:47:37,CANCELLED,OC
O00360,C0154,2026-01-10 10:39:50,SHIPPED,AF
O00361,C0545,2026-04-14 21:58:15,SHIPPED,SA
O00362,C0553,2026-03-21 15:53:21,DELIVERED,OC
O00363,C0535,2025-12-04 15:01:33,DELIVERED,OC
O00364,C0235,2025-09-21 20:15:24,DELIVERED,SA
O00365,C0590,2026-06-08 00:00:00,SHIPPED,SA
O00366,C0086,2025-12-09 20:51:47,DELIVERED,SA
O00367,C0006,2026-01-19 06:04:35,DELIVERED,AF
O00368,C0533,2026-01-12 00:00:00,DELIVERED,OC
O00369,C0419,2025-09-03 19:10:59,SHIPPED,OC
O00370,C0268,2025-09-14 00:04:16,DELIVERED,AS
O00371,C0407,2025-09-25 10:47:01,DELIVERED,AF
O00372,C0380,2025-10-08 06:29:22,DELIVERED,AS
O00373,C0408,2025-07-24 21:52:22,DELIVERED,OC
O00374,C0236,2025-12-18 01:47:55,DELIVERED,EU
O00375,C0521,2026-05-05 07:29:24,DELIVERED,AF
O00376,C0054,2025-07-18 05:24:52,RETURNED,NA
O00377,C0149,2026-07-06 19:09:06,DELIVERED,NA
O00378,C0228,2025-10-25 04:44:13,DELIVERED,OC
O00379,C0411,2025-12-19 19:19:15,DELIVERED,OC
O00380,C0059,2025-10-06 19:49:38,DELIVERED,OC
O00381,C0011,2026-04-26 16:49:49,DELIVERED,AF
O00382,C0035,2026-03-30 02:48:19,DELIVERED,OC
O00383,C0174,2025-09-29 04:01:03,DELIVERED,OC
O00384,UNKNOWN,2026-05-02 16:27:41,RETURNED,SA
O00385,C0405,2025-09-29 20:07:43,SHIPPED,NA
O00386,C0071,2025-08-07 01:54:24,DELIVERED,OC
O00387,C0597,2025-09-19 03:57:36,RETURNED,AS
O00388,C0200,2026-07-07 10:41:59,DELIVERED,NA
O00389,C0417,2025-12-29 23:54:23,DELIVERED,AF
O00390,C0120,2026-06-14 03:41:59,RETURNED,AF
O00391,C0589,2026-03-09 00:52:54,DELIVERED,SA
O00392,C0250,2026-01-18 16:04:13,RETURNED,SA
O00393,C0029,2026-04-05 12:49:00,SHIPPED,SA
O00394,C0226,2025-11-15 13:43:06,SHIPPED,AS
O00395,C0362,2026-06-14 00:23:57,PLACED,AS
O00396,C0096,2026-01-06 02:05:58,DELIVERED,AS
O00397,C0183,2026-06-22 02:22:52,DELIVERED,AF
O00398,C0195,2025-10-16 05:39:49,SHIPPED,OC
O00399,C0272,2025-12-25 10:34:46,SHIPPED,EU
O00400,C0365,2025-12-16 15:06:12,SHIPPED,NA
O00401,C0505,2026-05-09 20:19:02,DELIVERED,AF
O00402,C0494,2025-07-28 15:19:14,DELIVERED,AF
O00403,C0503,2026-03-05 11:47:22,DELIVERED,AF
O00404,C0228,2026-04-23 23:15:38,SHIPPED,AF
O00405,C0490,2026-05-28 12:46:13,PLACED,AS
O00406,C0179,2025-12-07 02:48:57,SHIPPED,AF
O00407,C0009,2026-04-18 00:00:00,SHIPPED,AF
O00408,C0371,2025-11-10 21:53:15,SHIPPED,AF
O00409,C0276,2025-12-12 11:13:21,DELIVERED,AS
O00410,C0435,2026-03-06 21:06:36,DELIVERED,AS
O00411,C0411,2026-07-12 02:52:58,SHIPPED,EU
O00412,C0235,2026-04-26 17:46:25,DELIVERED,EU
O00413,C0391,2026-02-19 12:17:13,DELIVERED,OC
O00414,C0010,2026-02-28 00:08:34,DELIVERED,OC
O00415,C0324,2026-02-05 14:50:21,DELIVERED,AF
O00416,C0049,2026-02-01 08:58:30,DELIVERED,NA
O00417,C0261,2026-03-18 11:41:43,DELIVERED,SA
O00418,C0267,2026-06-17 12:21:38,DELIVERED,AS
O00419,C0422,2026-04-11 20:16:34,DELIVERED,AF
O00420,C0590,2026-05-14 00:05:47,DELIVERED,AS
O00421,C0523,2025-07-27 08:25:45,DELIVERED,NA
O00422,C0294,2026-01-30 14:16:22,RETURNED,EU
O00423,C0346,2025-08-23 20:22:24,DELIVERED,SA
O00424,C0074,2026-01-03 00:00:00,DELIVERED,AS
O00425,C0299,2026-01-05 20:05:32,DELIVERED,SA
O00426,C0456,2026-05-29 13:45:52,CANCELLED,OC
O00427,C0462,2026-06-18 06:51:10,SHIPPED,NA
O00428,C0241,2025-07-28 20:48:59,CANCELLED,OC
O00429,C0216,2026-06-18 06:58:25,SHIPPED,NA
O00430,C0485,2025-10-15 19:45:48,PLACED,SA
O00431,C0086,2026-01-29 20:07:50,DELIVERED,NA
O00432,C0400,2026-02-06 06:46:31,SHIPPED,AS
O00433,C0130,2025-12-13 00:50:06,DELIVERED,NA
O00434,UNKNOWN,2026-04-23 21:45:12,CANCELLED,SA
O00435,C0554,2025-07-27 15:19:23,DELIVERED,EU
O00436,C0553,2026-02-13 23:37:16,DELIVERED,OC
O00437,C0578,2025-12-09 20:16:52,DELIVERED,AF
O00438,C0356,2026-01-28 20:07:15,SHIPPED,NA
O00439,C0375,2026-05-05 13:16:42,SHIPPED,NA
O00440,UNKNOWN,2026-03-14 07:32:31,DELIVERED,AS
O00441,C0548,2025-07-31 00:00:00,CANCELLED,SA
O00442,C0441,2025-09-24 03:00:18,DELIVERED,NA
O00443,C0194,2025-11-02 11:27:36,DELIVERED,SA
O00444,C0400,2025-12-30 02:24:38,SHIPPED,NA
O00445,C0246,2025-12-13 23:28:20,DELIVERED,AF
O00446,C0279,2026-06-20 20:39:16,DELIVERED,AS
O00447,C0071,2025-11-07 16:07:19,SHIPPED,OC
O00448,C0464,2026-05-08 20:39:50,DELIVERED,EU
O00449,C0156,2026-05-29 00:00:00,DELIVERED,EU
O00450,C0289,2025-10-31 10:23:19,DELIVERED,OC
